timestamp,fps,status,confidence,face_present,avg_ear,eyes_closed_time,gaze_direction,gaze_away_time,yaw,pitch,roll
2025-11-25T11:58:00.959154Z,1.2,distracted,0.6,True,0.43,0.0,right,58.6,19.7,168.34,-5.99
2025-11-25T11:58:01.793605Z,1.2,distracted,0.6,True,0.429,0.0,right,59.42,19.99,167.38,-5.63
2025-11-25T11:58:02.632674Z,1.2,distracted,0.6,True,0.419,0.0,right,60.27,19.17,168.61,-4.83
2025-11-25T11:58:03.465379Z,1.2,distracted,0.6,True,0.416,0.0,right,61.11,19.34,168.29,-5.04
2025-11-25T11:58:04.289868Z,1.2,distracted,0.6,True,0.422,0.0,right,61.93,19.38,168.52,-5.35
2025-11-25T11:58:05.118247Z,1.2,distracted,0.6,True,0.423,0.0,right,62.75,16.73,168.46,-4.6
2025-11-25T11:58:05.952162Z,1.2,distracted,0.6,True,0.416,0.0,right,63.58,9.56,166.77,2.91
2025-11-25T11:58:06.778489Z,1.2,distracted,0.6,True,0.414,0.0,right,64.41,9.5,165.57,7.3
2025-11-25T11:58:07.610585Z,1.2,distracted,0.6,True,0.405,0.0,right,65.24,11.74,164.53,4.36
2025-11-25T11:58:08.433916Z,1.2,distracted,0.6,True,0.408,0.0,right,66.07,10.65,164.59,5.1
2025-11-25T11:58:09.269181Z,1.2,distracted,0.6,True,0.412,0.0,right,66.9,14.11,165.11,4.93
2025-11-25T11:58:10.399291Z,1.2,distracted,0.6,True,0.413,0.0,right,68.03,13.58,165.15,5.41
2025-11-25T11:58:11.237897Z,1.2,distracted,0.6,True,0.421,0.0,right,68.88,9.57,166.29,5.58
2025-11-25T11:58:12.069811Z,1.2,distracted,0.6,True,0.417,0.0,right,69.71,11.43,165.43,5.61
2025-11-25T11:58:13.873972Z,1.1,distracted,0.6,True,0.401,0.0,right,71.51,11.06,165.41,5.66
2025-11-25T11:58:14.720607Z,1.1,distracted,0.6,True,0.396,0.0,right,72.36,12.46,164.02,5.54
2025-11-25T11:58:17.079958Z,1.0,distracted,0.6,True,0.421,0.0,right,74.71,10.89,165.41,5.71
2025-11-25T11:58:17.907972Z,1.1,distracted,0.6,True,0.417,0.0,right,75.55,11.49,166.15,5.27
2025-11-25T11:58:19.304292Z,1.0,distracted,0.6,True,0.42,0.0,right,76.93,12.04,164.21,6.34
2025-11-25T11:58:20.162257Z,1.0,distracted,0.6,True,0.424,0.0,right,77.79,13.23,166.01,4.88
2025-11-25T11:58:20.994504Z,1.1,distracted,0.6,True,0.41,0.0,right,78.63,11.96,165.22,5.58
2025-11-25T11:58:21.826903Z,1.1,distracted,0.6,True,0.399,0.0,right,79.46,11.4,166.45,5.53
2025-11-25T11:58:22.659343Z,1.1,distracted,0.6,True,0.408,0.0,right,80.29,13.34,167.25,5.34
2025-11-25T11:58:23.492893Z,1.1,distracted,0.6,True,0.418,0.0,right,81.13,11.17,164.87,6.06
